BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by COMPASS","Co-op for sale",2200000,3,2195,"336 Central Park W Apt 3B","Manhattan, NY 10025","336 Central Park W Apt 3B, Manhattan, NY 10025","New York","New York County","New York",Manhattan,336,"336 Central Park W #3b, New York, NY 10025, USA",40.7904197,-73.966175
"Brokered by Classic Home Sales","House for sale",639000,2,2190,"2072 E 74th St","Brooklyn, NY 11234","2072 E 74th St, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"East 74th Street","2072 E 74th St, Brooklyn, NY 11234, USA",40.6214608,-73.905805
"Brokered by Tom Crimmins Realty, Ltd.","House for sale",2050000,6,5600,"254 Flagg Pl","Staten Island, NY 10304","254 Flagg Pl, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Flagg Place","254 Flagg Pl, Staten Island, NY 10304, USA",40.5856353,-74.1068594
"Brokered by Jane Mosello Real Estate","Co-op for sale",279000,2,1050,"4320 Van Cortlandt Park E Apt R","Bronx, NY 10470","4320 Van Cortlandt Park E Apt R, Bronx, NY 10470","United States","New York","Bronx County","The Bronx","Van Cortlandt Park East","4320 Van Cortlandt Park E, Bronx, NY 10470, USA",40.898666,-73.8738365
"Brokered by Ashford Homes","House for sale",669000,2,1312,"72 Boone St","Staten Island, NY 10314","72 Boone St, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Boone Street","72 Boone St, Staten Island, NY 10314, USA",40.6013797,-74.1380964
"Brokered by Vandenberg -The Townhouse Experts","Townhouse for sale",6700000,4,3740,"51 W 95th St","New York, NY 10025","51 W 95th St, New York, NY 10025","United States","New York","New York County","New York","West 95th Street","51 W 95th St, New York, NY 10025, USA",40.7918625,-73.9667605
"Brokered by Vantage Realty Partners","Multi-family home for sale",681000,3,2188,"694 Ashford St","Brooklyn, NY 11207","694 Ashford St, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Ashford Street","694 Ashford St, Brooklyn, NY 11207, USA",40.6648825,-73.8826911
"Brokered by Robert DeFalco Realty, Inc.","Multi-family home for sale",530000,2,1672,"87 Murdock Pl","Staten Island, NY 10303","87 Murdock Pl, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","Murdock Place","87 Murdock Pl, Staten Island, NY 10303, USA",40.6268626,-74.1476451
"Brokered by Corcoran SoHo","Condo for sale",1700000,2,1580,"984 Bergen Residence St Apt 1","Brooklyn, NY 11216","984 Bergen Residence St Apt 1, Brooklyn, NY 11216","New York","Kings County",Brooklyn,"Crown Heights",984,"984 Bergen St #1, Brooklyn, NY 11216, USA",40.6763522,-73.9543474
"Brokered by J. Milo Real Estate Ltd","Co-op for sale",339000,1,1085,"9437 Shore Rd Apt C8","Brooklyn, NY 11209","9437 Shore Rd Apt C8, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",9437,"9437 Shore Rd Apt C8, Brooklyn, NY 11209, USA",40.6171201,-74.0385203
"Brokered by Re/Max In The City","Co-op for sale",189000,1,700,"6535 Broadway Apt 1G","Bronx, NY 10471","6535 Broadway Apt 1G, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",6535,"6535 Broadway #1g, Bronx, NY 10471, USA",40.906568,-73.8968047
"Brokered by Corcoran East Side","Co-op for sale",48000000,2.5,2206,"740 Park Ave # 4 & 5B","New York, NY 10021","740 Park Ave # 4 & 5B, New York, NY 10021","New York","New York County","New York",Manhattan,740,"740 Park Ave #5, New York, NY 10021, USA",40.7707516,-73.9645283
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",4995000,2,2164,"14 E 75th St Unit 9D","Manhattan, NY 10021","14 E 75th St Unit 9D, Manhattan, NY 10021","New York","New York County","New York",Manhattan,14,"14 E 75th St #9d, New York, NY 10021, USA",40.7737635,-73.9644574
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",999999,2,1198,"333 E 91st St Apt 10B","New York, NY 10128","333 E 91st St Apt 10B, New York, NY 10128","New York","New York County","New York",Manhattan,333,"333 E 91st St #10b, New York, NY 10128, USA",40.7803429,-73.947266
"Brokered by Corcoran Bedford Stuyvesant",Pending,349750,1,2172,"483 17th St # 2L","Brooklyn, NY 11215","483 17th St # 2L, Brooklyn, NY 11215","New York","Kings County",Brooklyn,"Park Slope",483,"483 17th St #2l, Brooklyn, NY 11215, USA",40.6585622,-73.9825211
"Brokered by Corcoran West Side","Co-op for sale",385000,1,2203,"116 Pinehurst Ave Apt B52","New York, NY 10033","116 Pinehurst Ave Apt B52, New York, NY 10033","United States","New York","New York County","New York","Pinehurst Avenue","116 Pinehurst Ave, New York, NY 10033, USA",40.8522694,-73.939181
"Brokered by COMPASS","Townhouse for sale",7950000,2,3397,"20 Jones St","Manhattan, NY 10014","20 Jones St, Manhattan, NY 10014","United States","New York","New York County","New York","Jones Street","20 Jones St, New York, NY 10014, USA",40.7319485,-74.0025061
"Brokered by CHIN - Re/Max in The City",Pending,324900,2,1100,"5715 Mosholu Ave Apt 6B","Bronx, NY 10471","5715 Mosholu Ave Apt 6B, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",5715,"5715 Mosholu Ave #6b, Bronx, NY 10471, USA",40.9057959,-73.90002
"Brokered by Douglas Elliman - 1995 Broadway","Co-op for sale",175000,1,2194,"275 Webster Ave Apt 6G","Brooklyn, NY 11230","275 Webster Ave Apt 6G, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Kensington,275,"275 Webster Ave #6g, Brooklyn, NY 11230, USA",40.6329634,-73.9709274
"Brokered by Keller Williams Realty Elite","Multi-family home for sale",915999,3,2160,"26-39 93rd St","East Elmhurst, NY 11369","26-39 93rd St, East Elmhurst, NY 11369","United States","New York","Queens County",Queens,"93rd Street","26-39 93rd St, Flushing, NY 11369, USA",40.7618985,-73.8758538
"Brokered by Douglas Elliman - New Development","Condo for sale",40000000,6,7488,"111 Murray St Ph 2","New York, NY 10007","111 Murray St Ph 2, New York, NY 10007","New York","New York County","New York",Manhattan,111,"111 Murray St Ph 2, New York, NY 10007, USA",40.715351,-74.0128441
"Brokered by CHIN - Re/Max in The City",Pending,324900,2,1100,"5715 Mosholu Ave Apt 6B","Bronx, NY 10471","5715 Mosholu Ave Apt 6B, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",5715,"5715 Mosholu Ave #6b, Bronx, NY 10471, USA",40.9057959,-73.90002
"Brokered by Pantiga Group Inc.","Co-op for sale",175000,1,800,"190 E Mosholu Pkwy S Apt 3B","Bronx, NY 10458","190 E Mosholu Pkwy S Apt 3B, Bronx, NY 10458","New York","Bronx County","The Bronx","West Bronx",190,"190 E Mosholu Pkwy S #3b, Bronx, NY 10458, USA",40.8742949,-73.883753
"Brokered by Douglas Elliman - 156 Montague","Townhouse for sale",5995000,4,4000,"136 Kane St","Brooklyn, NY 11231","136 Kane St, Brooklyn, NY 11231","United States","New York","Kings County",Brooklyn,"Kane Street","136 Kane St, Brooklyn, NY 11231, USA",40.6868209,-73.9988226
"Brokered by EXP Realty","Co-op for sale",480000,1,2192,"66-36 Yellowstone Blvd Unit 22B","Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 22B, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",6636,"6636 Yellowstone Blvd Apt 22f, Forest Hills, NY 11375, USA",40.7291499,-73.84944
"Brokered by Brown Harris Stevens- 3531 Johnson Avenue","House for sale",4200000,4,4480,"164 W 88th St","New York, NY 10024","164 W 88th St, New York, NY 10024","United States","New York","New York County","New York","West 88th Street","164 W 88th St, New York, NY 10024, USA",40.788437,-73.9731887
"Brokered by BEN BAY REALTY, CO.","House for sale",1848000,2.5,3676,"976 Ocean Ave","Brooklyn, NY 11226","976 Ocean Ave, Brooklyn, NY 11226","United States","New York","Kings County",Brooklyn,"Ocean Avenue","976 Ocean Ave, Brooklyn, NY 11226, USA",40.6386251,-73.9591955
"Brokered by eXp Realty BKNY","Co-op for sale",285000,1,750,"1293 E 5th St Apt 6B","Brooklyn, NY 11230","1293 E 5th St Apt 6B, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Midwood,1293,"1293 E 5th St #6b, Brooklyn, NY 11230, USA",40.6195811,-73.9706361
"Brokered by Realty Trends Corp","Multi-family home for sale",849000,3,2460,"43-06 Rockaway Beach Blvd","Far Rockaway, NY 11691","43-06 Rockaway Beach Blvd, Far Rockaway, NY 11691","United States","New York","Queens County",Queens,"Rockaway Beach Boulevard","43-06 Rockaway Beach Blvd, Far Rockaway, NY 11691, USA",40.5939428,-73.7748361
"Brokered by Magic Of Great Neck Realty Inc","Co-op for sale",729000,2,1700,"26910 Grand Central Pkwy Apt 12O","Floral Park, NY 11005","26910 Grand Central Pkwy Apt 12O, Floral Park, NY 11005","New York","Queens County",Queens,"Glen Oaks",26910,"26910 Grand Central Pkwy #12o, Queens, NY 11005, USA",40.7577991,-73.7159564
"Brokered by Douglas Elliman - 3544 Johnson Ave","House for sale",4900000,2.5,9000,"5040 Goodridge Ave","Bronx, NY 10471","5040 Goodridge Ave, Bronx, NY 10471","United States","New York","Bronx County","The Bronx","Goodridge Avenue","5040 Goodridge Ave, Bronx, NY 10471, USA",40.8983076,-73.9020849
"Brokered by Exp Realty","Multi-family home for sale",600000,2,1728,"4217 Seton Ave","Bronx, NY 10466","4217 Seton Ave, Bronx, NY 10466","United States","New York","Bronx County","The Bronx","Seton Avenue","4217 Seton Ave, Bronx, NY 10466, USA",40.896179,-73.839487
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","House for sale",599000,1,1340,"111-20 145th St","Jamaica, NY 11435","111-20 145th St, Jamaica, NY 11435","United States","New York","Queens County",Queens,"145th Street","11120 145th St, Jamaica, NY 11435, USA",40.6860975,-73.7998859
"Brokered by Voro Llc","Multi-family home for sale",599000,2,2268,"716 Decatur St","Brooklyn, NY 11233","716 Decatur St, Brooklyn, NY 11233","United States","New York","Kings County",Brooklyn,"Decatur Street","716 Decatur St, Brooklyn, NY 11233, USA",40.6835248,-73.9141078
"Brokered by BROOKLYN`S 4 U REALTY","Multi-family home for sale",1295000,2,2600,"2506 E 65th St","Brooklyn, NY 11234","2506 E 65th St, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"East 65th Street","2506 E 65th St, Brooklyn, NY 11234, USA",40.609816,-73.9084026
"Brokered by J Milo Real Estate","House for sale",529000,1,1800,"89-22 210th Pl","Queens, NY 11427","89-22 210th Pl, Queens, NY 11427","United States","New York","Queens County",Queens,"210th Place","89-22 210th Pl, Queens Village, NY 11427, USA",40.7212998,-73.7544395
"Brokered by RE MAX Central","Multi-family home for sale",1550000,7,3000,"174-176 Camden Ave","Staten Island, NY 10309","174-176 Camden Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Camden Avenue","174 Camden Ave, Staten Island, NY 10309, USA",40.5083446,-74.2299349
"Brokered by RE/MAX City Square","Co-op for sale",319000,1,2185,"67-41 Burns St Unit 414","Forest Hills, NY 11375","67-41 Burns St Unit 414, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",6741,"6741 Burns St Apt 414, Forest Hills, NY 11375, USA",40.7230399,-73.85628
"Brokered by JWS REALTY GROUP","Co-op for sale",245000,1,260,"5 Tudor City Pl Apt 1818","Ny, NY 10017","5 Tudor City Pl Apt 1818, Ny, NY 10017","New York","New York County","New York",Manhattan,5,"5 Tudor City Pl #1818ny, New York, NY 10017, USA",40.748134,-73.9708805
"Brokered by RE/MAX City Square","Co-op for sale",319000,1,2196,"67-41 Burns St Unit 414","Forest Hills, NY 11375","67-41 Burns St Unit 414, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",6741,"6741 Burns St Apt 414, Forest Hills, NY 11375, USA",40.7230399,-73.85628
"Brokered by RE MAX Edge","Multi-family home for sale",999900,2,2024,"29 Bay 10th St","Brooklyn, NY 11228","29 Bay 10th St, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"Bay 10th Street","29 Bay 10th St, Brooklyn, NY 11228, USA",40.6101839,-74.009209
"Brokered by JM Properties","House for sale",395000,1,666,"170 Baden Pl","Staten Island, NY 10306","170 Baden Pl, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Baden Place","170 Baden Pl, Staten Island, NY 10306, USA",40.5724498,-74.0909716
"Brokered by Nestapple","Condo for sale",620000,1,430,"112 W 72nd St Ph C","Manhattan, NY 10023","112 W 72nd St Ph C, Manhattan, NY 10023","New York","New York County","New York",Manhattan,112,"112 W 72nd St Ph C, New York, NY 10023, USA",40.7774399,-73.9793101
"Brokered by Momentum Real Estate LLC","Multi-family home for sale",1295000,2.5,3264,"643 Huguenot Ave","Staten Island, NY 10312","643 Huguenot Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Huguenot Avenue","643 Huguenot Ave, Staten Island, NY 10312, USA",40.5389259,-74.195072
"Brokered by Serhant","Co-op for sale",8995000,4,5500,"38 W 26th St Unit 9TH","New York, NY 10010","38 W 26th St Unit 9TH, New York, NY 10010","New York","New York County","New York",Manhattan,38,"38 W 26th St #9d, New York, NY 10010, USA",40.7442721,-73.9907621
"Brokered by COMPASS","Condo for sale",2995000,2,1452,"120 E 87th St Apt R26B","Manhattan, NY 10128","120 E 87th St Apt R26B, Manhattan, NY 10128","New York","New York County","New York",Manhattan,120,"120 E 87th St #26b, New York, NY 10128, USA",40.7803919,-73.9558923
"Brokered by NEUHAUS REALTY INC.","House for sale",675000,2,1222,"7 Norwood Ct","Staten Island, NY 10304","7 Norwood Ct, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Norwood Court","7 Norwood Ct, Staten Island, NY 10304, USA",40.6277171,-74.0860272
"Brokered by COMPASS","Condo for sale",999000,1,600,"10 W End Ave Apt 8J","Manhattan, NY 10023","10 W End Ave Apt 8J, Manhattan, NY 10023","New York","New York County","New York",Manhattan,10,"10 West End Ave #8j, New York, NY 10023, USA",40.7717454,-73.9900505
"Brokered by Aschan Realty","House for sale",649999,2,2196,"139-32 Laurelton Pkwy","Rosedale, NY 11422","139-32 Laurelton Pkwy, Rosedale, NY 11422","United States","New York","Queens County",Queens,"Laurelton Parkway","139-32 Laurelton Pkwy, Jamaica, NY 11422, USA",40.6670008,-73.7409018
"Brokered by Brown Harris Stevens - 1926 Broadway","Townhouse for sale",10995000,6,9000,"318 W 81st St Unit Townhouse","Manhattan, NY 10024","318 W 81st St Unit Townhouse, Manhattan, NY 10024","United States","New York","New York County","New York","West 81st Street","318 W 81st St, New York, NY 10024, USA",40.7858802,-73.9811894
"Brokered by Behfar Team, Llc","House for sale",1075000,2,2200,"1455 E 15th St","Brooklyn, NY 11230","1455 E 15th St, Brooklyn, NY 11230","United States","New York","Kings County",Brooklyn,"East 15th Street","1455 E 15th St, Brooklyn, NY 11230, USA",40.6141979,-73.9591151
"Brokered by TRACEY REAL ESTATE","Co-op for sale",174000,1,800,"3105 Avenue V Apt 1H","Brooklyn, NY 11229","3105 Avenue V Apt 1H, Brooklyn, NY 11229","New York","Kings County",Brooklyn,"Sheepshead Bay",3105,"3105 Ave V #1h, Brooklyn, NY 11229, USA",40.5997081,-73.9344974
"Brokered by Connie Profaci Realty","House for sale",1193000,2,1518,"1085 Todt Hill Rd","Staten Island, NY 10304","1085 Todt Hill Rd, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Todt Hill Road","1085 Todt Hill Rd, Staten Island, NY 10304, USA",40.5839283,-74.1113788
"Brokered by Corcoran Bedford Stuyvesant","House for sale",4995000,4,2199,"464 1st St","Brooklyn, NY 11215","464 1st St, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"1st Street","464 1st St, Brooklyn, NY 11215, USA",40.6712943,-73.9771145
"Brokered by Pride Estates","House for sale",898000,4,2828,"185 Highland Blvd","Brooklyn, NY 11207","185 Highland Blvd, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Highland Boulevard","185 Highland Blvd, Brooklyn, NY 11207, USA",40.6816001,-73.8948525
"Brokered by Prodigy Real Estate Inc.","House for sale",1749999,4,2600,"106 Overlook Ave","Staten Island, NY 10304","106 Overlook Ave, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Overlook Avenue","106 Overlook Ave, Staten Island, NY 10304, USA",40.595688,-74.0982331
"Brokered by RE MAX Elite","Condo for sale",575000,2,1253,"101-02 Shore Front Pkwy Unit 26A","Rockaway Park, NY 11694","101-02 Shore Front Pkwy Unit 26A, Rockaway Park, NY 11694","New York","Queens County",Queens,"Far Rockaway",10102,"10102 Shore Front Pkwy # 26a, Far Rockaway, NY 11694, USA",40.5824866,-73.8213437
"Brokered by Nest Seekers International, Midtown","Condo for sale",5100000,2,2183,"201 W 17th St Ph F","New York, NY 10011","201 W 17th St Ph F, New York, NY 10011","United States","New York","New York County","New York","West 17th Street","201 W 17th St, New York, NY 10011, USA",40.7408109,-73.998475
"Brokered by COMPASS","Condo for sale",2000000,2,1321,"108 Reade St Unit 4W","Manhattan, NY 10013","108 Reade St Unit 4W, Manhattan, NY 10013","New York","New York County","New York",Manhattan,108,"108 Reade St #4b, New York, NY 10013, USA",40.7159753,-74.0083683
"Brokered by Keller Williams Ny Realty","Co-op for sale",170000,1,850,"3555 Kings College Pl Apt 2G","Bronx, NY 10467","3555 Kings College Pl Apt 2G, Bronx, NY 10467","New York","Bronx County","The Bronx",Norwood,3555,"3555 Kings College Pl #2g, Bronx, NY 10467, USA",40.8813916,-73.8757001
"Brokered by Corcoran Westside Columbus","Co-op for sale",1295000,2,2100,"28 Old Fulton St # Thf","Brooklyn, NY 11201","28 Old Fulton St # Thf, Brooklyn, NY 11201","New York","Kings County",Brooklyn,"Brooklyn Heights",28,"Eagle Warehouse & Storage Company, 28 Old Fulton St, Brooklyn, NY 11201, USA",40.702334,-73.9937463
"Brokered by Momentum Real Estate Llc","Multi-family home for sale",1848000,4,3640,"1862 84th Ave","Brooklyn, NY 11214","1862 84th Ave, Brooklyn, NY 11214","United States","New York","Kings County",Brooklyn,"84th Street","1862 84th St, Brooklyn, NY 11214, USA",40.607214,-73.9998636
"Brokered by Voro Llc","Co-op for sale",298999,1,2208,"229-17 87th Ave Unit Upper","Queens Village, NY 11427","229-17 87th Ave Unit Upper, Queens Village, NY 11427","United States","New York","Queens County",Queens,"87th Avenue","229-17 87th Ave, Queens Village, NY 11427, USA",40.7317712,-73.739171
"Brokered by EXIT ALL SEASONS REALTY","Co-op for sale",209900,1,780,"3845 Shore Pkwy Apt 5H","Brooklyn, NY 11235","3845 Shore Pkwy Apt 5H, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",3845,"3845 Shore Pkwy #5h, Brooklyn, NY 11235, USA",40.586901,-73.932949
"Brokered by COMPASS","Co-op for sale",539000,1,2177,"385 E 18th St Apt 6J","Brooklyn, NY 11226","385 E 18th St Apt 6J, Brooklyn, NY 11226","New York","Kings County",Brooklyn,Flatbush,385,"385 E 18th St #6j, Brooklyn, NY 11226, USA",40.6419847,-73.9614428
"Brokered by Douglas Elliman  -111 Fifth Ave","House for sale",2975000,2,2187,"474 Sterling Pl","Brooklyn, NY 11238","474 Sterling Pl, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Sterling Place","474 Sterling Pl, Brooklyn, NY 11238, USA",40.674276,-73.9626129
"Brokered by Akcess24homes Inc","Multi-family home for sale",2099000,5,2200,"97-19 63rd Dr","Rego Park, NY 11374","97-19 63rd Dr, Rego Park, NY 11374","United States","New York","Queens County",Queens,"63rd Drive","97-19 63rd Dr, Rego Park, NY 11374, USA",40.7308373,-73.8599677
"Brokered by COMPASS","Co-op for sale",789000,1,2207,"400 E 77th St Apt 4E","Manhattan, NY 10075","400 E 77th St Apt 4E, Manhattan, NY 10075","New York","New York County","New York",Manhattan,400,"400 E 77th St #4a, New York, NY 10075, USA",40.7707244,-73.9533267
"Brokered by Douglas Elliman - 664 Fulton","House for sale",919000,2,1565,"941 Newkirk Ave","Brooklyn, NY 11230","941 Newkirk Ave, Brooklyn, NY 11230","United States","New York","Kings County",Brooklyn,"Newkirk Avenue","941 Newkirk Ave, Brooklyn, NY 11230, USA",40.6335949,-73.9678166
"Brokered by Corcoran East Side","House for sale",815599,2,2169,"3708 Avenue M","Brooklyn, NY 11234","3708 Avenue M, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue K","3708 Avenue K, Brooklyn, NY 11210, USA",40.6254509,-73.9395115
"Brokered by William Raveis Real Estate - Yorktown Heights","Co-op for sale",289999,1,830,"2550 Independence Ave Apt 3C","Bronx, NY 10463","2550 Independence Ave Apt 3C, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",2550,"2550 Independence Ave #3c, Bronx, NY 10463, USA",40.8799897,-73.919862
"Brokered by BHHS New York Properties","Co-op for sale",4050000,3,2184,"1060 Fifth Ave Unit 3C","New York, NY 10128","1060 Fifth Ave Unit 3C, New York, NY 10128","New York","New York County","New York",Manhattan,1060,"1060 5th Ave #3c, New York, NY 10128, USA",40.7822029,-73.959633
"Brokered by Oxford Property Group","Townhouse for sale",7750000,2.5,3375,"5622 14th Ave","Brooklyn, NY 11219","5622 14th Ave, Brooklyn, NY 11219","United States","New York","Kings County",Brooklyn,"14th Avenue","5622 14th Ave, Brooklyn, NY 11219, USA",40.629467,-73.994672
"Brokered by RE MAX Edge","Multi-family home for sale",1998000,3,3192,"578 Ovington Ave","Brooklyn, NY 11209","578 Ovington Ave, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"Ovington Avenue","578 Ovington Ave, Brooklyn, NY 11209, USA",40.631406,-74.0193512
"Brokered by Apple Realty Group Corp","Condo for sale",680000,2,1058,"167-09 Powell Cove Blvd Unit 26","Beechhurst, NY 11357","167-09 Powell Cove Blvd Unit 26, Beechhurst, NY 11357","New York","Queens County",Queens,Flushing,16709,"16709 Powells Cove Blvd #26, Flushing, NY 11357, USA",40.7942255,-73.7950678
"Brokered by Winzone Realty Inc","House for sale",1299000,2,2190,"2066 66th St","Brooklyn, NY 11204","2066 66th St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"66th Street","2066 66th St, Brooklyn, NY 11204, USA",40.6147583,-73.9849887
"Brokered by Elegran LLC","Condo for sale",845000,2,2162,"83-09 Talbot St Unit 5N","Kew Gardens, NY 11415","83-09 Talbot St Unit 5N, Kew Gardens, NY 11415","New York","Queens County",Queens,"Kew Gardens",83-9,"83-9 Talbot St #5n, Kew Gardens, NY 11415, USA",40.7095418,-73.8286658
"Brokered by Fillmore Real Estate","Co-op for sale",899000,2,1300,"9201 Shore Rd Apt C507","Brooklyn, NY 11209","9201 Shore Rd Apt C507, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",9201,"9201 Shore Rd #507, Brooklyn, NY 11209, USA",40.620502,-74.0396973
"Brokered by Keller Williams Rlty Landmark","House for sale",758888,1,2193,"203-03 34th Ave","Bayside, NY 11361","203-03 34th Ave, Bayside, NY 11361","United States","New York","Queens County",Queens,"34th Avenue","203-03 34th Ave, Flushing, NY 11361, USA",40.7676985,-73.7850344
"Brokered by Redfin Real Estate","Co-op for sale",650000,1,2202,"332 W 101st St Apt 2R","New York, NY 10025","332 W 101st St Apt 2R, New York, NY 10025","New York","New York County","New York",Manhattan,332,"332 W 101st St #2r, New York, NY 10025, USA",40.798761,-73.9721556
"Brokered by Flat Rate Realty Of Queens Ltd","Co-op for sale",169000,1,850,"165-20 Highland Ave Unit 105","Jamaica, NY 11432","165-20 Highland Ave Unit 105, Jamaica, NY 11432","New York","Queens County",Queens,Jamaica,16520,"16520 Highland Ave Apt 105, Jamaica, NY 11432, USA",40.7106599,-73.7986899
"Brokered by Prospes Real Estate Corp","Multi-family home for sale",1350000,3,2166,"58-16 83rd Pl","Middle Village, NY 11379","58-16 83rd Pl, Middle Village, NY 11379","United States","New York","Queens County",Queens,"83rd Place","58-16 83rd Pl, Flushing, NY 11379, USA",40.728555,-73.8780858
"Brokered by Brown Harris Stvns Forest Hill","Co-op for sale",695000,2,2184,"35-25 77th St Unit A16","Jackson Heights, NY 11372","35-25 77th St Unit A16, Jackson Heights, NY 11372","New York","Queens County",Queens,Flushing,35-25,"Berkeley Apartments, 35-25 77th St, Flushing, NY 11372, USA",40.7507718,-73.8890157
"Brokered by Douglas Elliman - Bayside","Multi-family home for sale",1499000,2,2280,"18 Covert St","Brooklyn, NY 11207","18 Covert St, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Covert Street","18 Covert St., Brooklyn, NY 11207, USA",40.6852121,-73.9131299
"Brokered by Flat Rate Realty Of Queens Ltd","Co-op for sale",169000,1,850,"165-20 Highland Ave Unit 105","Jamaica, NY 11432","165-20 Highland Ave Unit 105, Jamaica, NY 11432","New York","Queens County",Queens,Jamaica,16520,"16520 Highland Ave Apt 105, Jamaica, NY 11432, USA",40.7106599,-73.7986899
"Brokered by COMPASS",Pending,395000,2.5,381,"192 Water St Ste C","Brooklyn, NY 11201","192 Water St Ste C, Brooklyn, NY 11201","New York","Kings County",Brooklyn,Dumbo,192,"192 Water St STE C, Brooklyn, NY 11201, USA",40.7028922,-73.9860614
"Brokered by Corcoran West Side","Co-op for sale",445000,1,2207,"25 Tudor City Pl Apt 419","New York, NY 10017","25 Tudor City Pl Apt 419, New York, NY 10017",10017,"United States","New York","New York County",Manhattan,"Tudor City, New York, NY 10017, USA",40.7488491,-73.9716161
"Brokered by Coldwell Banker Advantage","Townhouse for sale",499000,2,1400,"181 Morningstar Rd","Staten Island, NY 10303","181 Morningstar Rd, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","Morningstar Road","181 Morningstar Rd, Staten Island, NY 10303, USA",40.633314,-74.145909
"Brokered by COMPASS","Co-op for sale",449000,1,2208,"440 E 56th St Apt 4D","Manhattan, NY 10022","440 E 56th St Apt 4D, Manhattan, NY 10022","New York","New York County","New York",Manhattan,440,"440 E 56th St #4b, New York, NY 10022, USA",40.7568629,-73.9621341
"Brokered by Hall Homes Realty, Inc.","House for sale",649000,2,1120,"2760 Amboy Rd","Staten Island, NY 10306","2760 Amboy Rd, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Amboy Road","2760 Amboy Rd, Staten Island, NY 10306, USA",40.5694974,-74.1237437
"Brokered by Hometown Properties","Co-op for sale",335000,1,756,"7901 4th Ave Apt E5","Brooklyn, NY 11209","7901 4th Ave Apt E5, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",7901,"7901 4th Ave e5, Brooklyn, NY 11209, USA",40.6273371,-74.0262024
"Brokered by Century Homes Realty Group LLC","Multi-family home for sale",980000,4,3068,"262 Zerega Ave","Bronx, NY 10473","262 Zerega Ave, Bronx, NY 10473","United States","New York","Bronx County","The Bronx","Zerega Avenue","262 Zerega Ave, Bronx, NY 10473, USA",40.8129128,-73.8461841
"Brokered by RE MAX Edge","House for sale",688000,2,1344,"2805 W 28th St","Brooklyn, NY 11224","2805 W 28th St, Brooklyn, NY 11224","United States","New York","Kings County",Brooklyn,"West 28th Street","2805 W 28th St, Brooklyn, NY 11224, USA",40.5773399,-73.9943294
"Brokered by Budget Real Estate Nyc Inc","Multi-family home for sale",679000,3,2196,"1319 E 96th St","Brooklyn, NY 11236","1319 E 96th St, Brooklyn, NY 11236","United States","New York","Kings County",Brooklyn,"East 96th Street","1319 E 96th St, Brooklyn, NY 11236, USA",40.6398004,-73.8974592
